ID,TransactionDate,CustomerName,Amount,Status,Region
TXN-120809,2024-12-24,Alice Brown,392.33,Cancelled,North
TXN-137556,2024-12-17,Jane Smith,86.6,Cancelled,South
TXN-044815,2024-12-13,Charlie Davis,388.63,Completed,South
TXN-121744,2024-12-01,Jane Smith,297.63,Pending,South
TXN-071745,2024-12-01,John Doe,205.9,Cancelled,East
TXN-069817,2024-12-25,Elena Rodriguez,344.75,Cancelled,East
TXN-147468,2024-12-04,Sam Wilson,165.54,Completed,South
TXN-037825,2024-12-23,Alice Brown,324.62,Completed,East
TXN-008290,2024-12-30,Alice Brown,140.89,Cancelled,East
TXN-020706,2024-12-17,John Doe,316.27,Pending,South
TXN-146824,2024-12-07,Sam Wilson,424.29,Cancelled,East
TXN-184761,2024-12-09,Bob Johnson,84.6,Pending,North
TXN-140784,2024-12-05,Jane Smith,442.07,Cancelled,West
TXN-021087,2024-12-31,Alice Brown,446.97,Completed,West
TXN-087955,2024-12-11,Alice Brown,403.08,Completed,West
TXN-196985,2024-12-14,Elena Rodriguez,38.12,Cancelled,East
TXN-087484,2024-12-19,Bob Johnson,150.03,Completed,West
TXN-050378,2024-12-27,Charlie Davis,44.98,Completed,West
TXN-036234,2024-12-11,Charlie Davis,351.17,Pending,East
TXN-114132,2024-12-12,Jane Smith,73.48,Pending,East
TXN-049103,2024-12-21,Charlie Davis,50.79,Completed,North
TXN-027354,2024-12-20,Elena Rodriguez,319.35,Cancelled,East
TXN-140926,2024-12-01,Jane Smith,161.2,Cancelled,East
TXN-045055,2024-12-21,Jane Smith,429.81,Completed,West
TXN-177725,2024-12-22,Bob Johnson,88.54,Pending,East
TXN-191648,2024-12-09,Bob Johnson,302.58,Cancelled,North
TXN-041677,2024-12-05,Alice Brown,447.87,Completed,North
TXN-075135,2024-12-15,Sam Wilson,20.47,Pending,North
TXN-072298,2024-12-16,Elena Rodriguez,75.28,Completed,East
TXN-130412,2024-12-04,Sam Wilson,485.05,Cancelled,North
TXN-166392,2024-12-27,Elena Rodriguez,130.27,Pending,North
TXN-013496,2024-12-01,Jane Smith,268.46,Pending,East
TXN-034359,2024-12-26,Jane Smith,221.53,Completed,South
TXN-035205,2024-12-03,John Doe,330.2,Pending,West
TXN-011268,2024-12-15,Jane Smith,345.84,Pending,North
TXN-104016,2024-12-30,Elena Rodriguez,325.27,Pending,East
TXN-137483,2024-12-21,John Doe,18.42,Cancelled,North
TXN-132638,2024-12-21,Charlie Davis,271.56,Pending,South
TXN-024663,2024-12-28,Bob Johnson,183.05,Cancelled,South
TXN-090794,2024-12-12,John Doe,42.61,Pending,North
TXN-183715,2024-12-14,Charlie Davis,390.33,Completed,North
TXN-203303,2024-12-13,Jane Smith,15.04,Pending,North
TXN-007112,2024-12-30,Alice Brown,68.2,Completed,North
TXN-083120,2024-12-14,Elena Rodriguez,12.13,Cancelled,West
TXN-088628,2024-12-15,John Doe,340.29,Completed,West
TXN-099663,2024-12-15,Sam Wilson,355.78,Cancelled,East
TXN-023637,2024-12-20,Alice Brown,343.26,Completed,South
TXN-127856,2024-12-02,Charlie Davis,456.61,Cancelled,West
TXN-150604,2024-12-16,Alice Brown,127.84,Completed,East
TXN-194305,2024-12-31,Elena Rodriguez,386.93,Pending,East
TXN-115308,2024-12-08,Elena Rodriguez,148.81,Cancelled,North
TXN-181003,2024-12-09,Sam Wilson,33.79,Completed,East
TXN-052753,2024-12-02,Alice Brown,383.95,Cancelled,East
TXN-173006,2024-12-17,Jane Smith,473.78,Completed,South
TXN-194738,2024-12-11,Elena Rodriguez,177.35,Cancelled,East
TXN-040960,2024-12-02,Jane Smith,64.79,Pending,West
TXN-065472,2024-12-29,Sam Wilson,311.19,Cancelled,South
TXN-123406,2024-12-24,Charlie Davis,459.37,Cancelled,West
TXN-036631,2024-12-11,Elena Rodriguez,187.03,Completed,West
TXN-111712,2024-12-18,Bob Johnson,353.54,Cancelled,West
TXN-189872,2024-12-01,Elena Rodriguez,37.1,Cancelled,East
TXN-142439,2024-12-12,Elena Rodriguez,24.72,Cancelled,East
TXN-145644,2024-12-18,Charlie Davis,324.55,Completed,East
TXN-100340,2024-12-30,Alice Brown,261.55,Pending,North
TXN-069278,2024-12-25,Sam Wilson,415.7,Cancelled,East
TXN-032852,2024-12-17,Charlie Davis,308.45,Completed,East
TXN-188268,2024-12-09,Charlie Davis,451.31,Cancelled,North
TXN-131166,2024-12-28,Jane Smith,457.97,Completed,East
TXN-125745,2024-12-13,Bob Johnson,391.56,Completed,East
TXN-140350,2024-12-18,Charlie Davis,379.04,Cancelled,East
TXN-081566,2024-12-10,Sam Wilson,219.95,Completed,North
TXN-029911,2024-12-02,Alice Brown,364.1,Completed,South
TXN-100389,2024-12-13,Alice Brown,361.51,Pending,North
TXN-008968,2024-12-17,Charlie Davis,341.36,Completed,West
TXN-046264,2024-12-06,Bob Johnson,214.07,Pending,North
TXN-200141,2024-12-15,Elena Rodriguez,61.95,Cancelled,East
TXN-051304,2024-12-27,Jane Smith,157.62,Pending,South
TXN-184922,2024-12-07,Alice Brown,128.03,Completed,West
TXN-138904,2024-12-01,Charlie Davis,492.93,Completed,East
