ID,TransactionDate,CustomerName,Amount,Status,Region
TXN-099972,2024-12-27,Bob Johnson,192.31,Cancelled,South
TXN-062212,2024-12-11,Sam Wilson,239.31,Cancelled,North
TXN-189743,2024-12-26,Jane Smith,70.51,Cancelled,North
TXN-027865,2024-12-12,John Doe,341.39,Completed,South
TXN-092180,2024-12-08,Alice Brown,340.14,Completed,East
TXN-186520,2024-12-03,Bob Johnson,193.12,Cancelled,West
TXN-121745,2024-12-26,Bob Johnson,58.66,Cancelled,South
TXN-163953,2024-12-13,Charlie Davis,420.86,Pending,West
TXN-011262,2024-12-04,Jane Smith,99.3,Cancelled,South
TXN-075541,2024-12-01,Bob Johnson,195.3,Pending,West
TXN-206457,2024-12-03,Elena Rodriguez,497.71,Pending,North
TXN-125145,2024-12-16,Charlie Davis,482.62,Pending,North
TXN-048257,2024-12-24,Bob Johnson,289.03,Completed,East
TXN-093146,2024-12-06,Elena Rodriguez,35.98,Pending,East
TXN-018282,2024-12-30,John Doe,459.78,Pending,North
TXN-104741,2024-12-09,Elena Rodriguez,284.23,Pending,South
TXN-050765,2024-12-14,Charlie Davis,455.82,Pending,South
TXN-036267,2024-12-28,Elena Rodriguez,217.53,Pending,South
TXN-006784,2024-12-29,John Doe,31.28,Cancelled,North
TXN-198988,2024-12-12,Charlie Davis,447.69,Cancelled,West
TXN-014701,2024-12-26,Bob Johnson,168.9,Cancelled,South
TXN-134607,2024-12-19,Sam Wilson,326.65,Cancelled,East
TXN-112585,2024-12-19,Elena Rodriguez,281.6,Pending,West
TXN-158286,2024-12-13,Jane Smith,230.96,Cancelled,South
TXN-201738,2024-12-05,Bob Johnson,238.83,Pending,North
TXN-139945,2024-12-26,Sam Wilson,262.07,Completed,North
TXN-174592,2024-12-23,Sam Wilson,181.44,Pending,East
TXN-009079,2024-12-10,Elena Rodriguez,24.85,Cancelled,East
TXN-184007,2024-12-01,John Doe,125.91,Completed,West
TXN-062258,2024-12-08,Bob Johnson,27.99,Completed,North
TXN-080515,2024-12-17,Bob Johnson,336.64,Cancelled,South
TXN-073120,2024-12-06,Bob Johnson,228.12,Pending,West
TXN-177087,2024-12-18,Charlie Davis,185.66,Completed,East
TXN-134510,2024-12-31,Jane Smith,345.69,Completed,South
TXN-125249,2024-12-16,Alice Brown,412.31,Cancelled,South
TXN-145706,2024-12-02,Sam Wilson,23.25,Completed,South
TXN-128676,2024-12-22,Charlie Davis,212.57,Pending,East
TXN-019702,2024-12-24,Jane Smith,75.08,Cancelled,South
TXN-196974,2024-12-22,Alice Brown,319.26,Cancelled,West
TXN-095628,2024-12-11,John Doe,457.1,Completed,West
TXN-181872,2024-12-29,Charlie Davis,415.29,Pending,West
TXN-209299,2024-12-13,Jane Smith,256.06,Pending,West
TXN-101237,2024-12-25,John Doe,129.34,Completed,South
TXN-006309,2024-12-09,Sam Wilson,191.97,Completed,South
TXN-186401,2024-12-22,Alice Brown,281.66,Cancelled,East
TXN-208023,2024-12-10,Jane Smith,153.93,Completed,West
TXN-202475,2024-12-22,Sam Wilson,104.89,Cancelled,West
TXN-028503,2024-12-13,Elena Rodriguez,382.99,Completed,West
TXN-161133,2024-12-14,Jane Smith,415.63,Pending,West
TXN-136387,2024-12-11,John Doe,401.7,Completed,South
TXN-069064,2024-12-08,Jane Smith,38.4,Completed,South
TXN-053911,2024-12-05,Elena Rodriguez,150.8,Cancelled,South
TXN-108654,2024-12-26,Jane Smith,174.77,Pending,South
TXN-076185,2024-12-19,Elena Rodriguez,445.24,Pending,North
TXN-200534,2024-12-21,Sam Wilson,84.94,Cancelled,North
TXN-063039,2024-12-28,Jane Smith,94.34,Pending,North
TXN-076188,2024-12-26,Alice Brown,244.68,Cancelled,East
TXN-152314,2024-12-10,Charlie Davis,247.01,Completed,West
TXN-131551,2024-12-23,Elena Rodriguez,155.75,Completed,North
TXN-017641,2024-12-02,Charlie Davis,334.76,Cancelled,North
TXN-072557,2024-12-11,Sam Wilson,335.46,Pending,West
TXN-090101,2024-12-14,Elena Rodriguez,449.44,Pending,East
TXN-168442,2024-12-27,Elena Rodriguez,415.72,Completed,East
TXN-208648,2024-12-28,Sam Wilson,486.92,Pending,East
TXN-025085,2024-12-21,John Doe,218.02,Pending,South
TXN-134063,2024-12-08,Alice Brown,44.54,Cancelled,South
TXN-130127,2024-12-23,Alice Brown,438.64,Cancelled,South
TXN-161663,2024-12-03,Jane Smith,270.71,Pending,East
TXN-007654,2024-12-03,Elena Rodriguez,184.73,Cancelled,East
TXN-116754,2024-12-14,Charlie Davis,424.38,Completed,South
TXN-109350,2024-12-14,Charlie Davis,269.86,Pending,North
TXN-145601,2024-12-12,Jane Smith,21.22,Pending,North
TXN-065705,2024-12-09,Bob Johnson,477.8,Pending,East
TXN-045508,2024-12-27,Alice Brown,296.97,Cancelled,East
TXN-129650,2024-12-31,Sam Wilson,290.47,Completed,East
TXN-027549,2024-12-04,Jane Smith,194.72,Completed,South
TXN-116956,2024-12-30,Jane Smith,420.7,Cancelled,South
TXN-197425,2024-12-12,Alice Brown,146.53,Cancelled,North
TXN-152636,2024-12-27,Bob Johnson,29.3,Completed,South
TXN-123483,2024-12-20,Alice Brown,134.79,Completed,West
TXN-088668,2024-12-04,Charlie Davis,404.81,Pending,East
TXN-163900,2024-12-02,Bob Johnson,263.04,Cancelled,North
TXN-174258,2024-12-03,Sam Wilson,224.78,Pending,South
TXN-155985,2024-12-10,John Doe,99.49,Completed,North
TXN-108540,2024-12-25,Sam Wilson,402.46,Completed,South
TXN-107936,2024-12-19,Alice Brown,104.55,Pending,North
TXN-133244,2024-12-11,Sam Wilson,347.77,Completed,West
TXN-066704,2024-12-09,Charlie Davis,211.93,Completed,North
TXN-011860,2024-12-27,Jane Smith,379.8,Completed,South
TXN-174603,2024-12-22,Jane Smith,315.05,Pending,East
TXN-018652,2024-12-07,Alice Brown,43.46,Cancelled,East
TXN-129013,2024-12-30,Bob Johnson,420.46,Cancelled,North
TXN-164678,2024-12-24,Jane Smith,385.08,Cancelled,East
TXN-202105,2024-12-28,John Doe,75.67,Completed,East
TXN-162197,2024-12-07,Sam Wilson,446.72,Pending,East
TXN-168714,2024-12-29,Charlie Davis,186.59,Pending,North
TXN-034770,2024-12-12,Charlie Davis,442.58,Completed,East
TXN-118444,2024-12-29,John Doe,383.57,Pending,West
TXN-150215,2024-12-17,Jane Smith,198.25,Pending,East
TXN-192669,2024-12-28,Alice Brown,218.67,Pending,North
TXN-166212,2024-12-28,Alice Brown,305.74,Cancelled,East
TXN-030524,2024-12-23,Sam Wilson,319.88,Completed,East
TXN-005464,2024-12-03,Jane Smith,138.74,Pending,North
TXN-192008,2024-12-30,Elena Rodriguez,44.37,Completed,South
TXN-013890,2024-12-07,Elena Rodriguez,297.96,Completed,North
TXN-157543,2024-12-06,Jane Smith,234.97,Pending,East
TXN-169540,2024-12-18,Bob Johnson,195.74,Cancelled,South
TXN-202860,2024-12-28,Sam Wilson,365.24,Cancelled,North
TXN-161601,2024-12-27,Alice Brown,11.79,Completed,South
TXN-206185,2024-12-31,John Doe,200.21,Pending,West
TXN-178145,2024-12-03,Elena Rodriguez,220.17,Cancelled,East
TXN-027688,2024-12-28,Alice Brown,209.86,Pending,West
TXN-077715,2024-12-08,Alice Brown,383.82,Pending,West
TXN-049138,2024-12-13,Sam Wilson,286.3,Completed,North
TXN-089169,2024-12-02,Elena Rodriguez,278.95,Completed,East
TXN-055186,2024-12-28,Elena Rodriguez,199.96,Completed,West
TXN-098714,2024-12-14,Alice Brown,25.57,Pending,East
TXN-206370,2024-12-10,Jane Smith,442.62,Cancelled,South
TXN-208183,2024-12-01,Jane Smith,464.3,Pending,West
TXN-155259,2024-12-31,Jane Smith,453.24,Completed,East
TXN-125030,2024-12-14,Charlie Davis,21.67,Pending,East
TXN-136742,2024-12-24,Charlie Davis,90.5,Cancelled,South
TXN-147403,2024-12-05,Jane Smith,324.01,Completed,South
TXN-113135,2024-12-01,Elena Rodriguez,118.56,Pending,East
TXN-078689,2024-12-08,Bob Johnson,69.89,Cancelled,South
TXN-146029,2024-12-09,Elena Rodriguez,245.71,Cancelled,West
TXN-109353,2024-12-06,Jane Smith,462.39,Pending,South
TXN-048704,2024-12-10,Alice Brown,70.02,Completed,West
TXN-143501,2024-12-21,Sam Wilson,264.12,Completed,East
TXN-131348,2024-12-21,Alice Brown,146.13,Completed,East
TXN-056114,2024-12-31,Elena Rodriguez,475.03,Completed,East
TXN-032855,2024-12-05,Elena Rodriguez,410.81,Cancelled,West
TXN-184899,2024-12-24,Sam Wilson,290.9,Completed,East
TXN-074082,2024-12-15,Bob Johnson,249.4,Cancelled,West
TXN-181377,2024-12-13,John Doe,326.35,Cancelled,West
TXN-178387,2024-12-18,John Doe,242.93,Cancelled,South
TXN-039258,2024-12-05,John Doe,166.69,Completed,West
TXN-183618,2024-12-10,Sam Wilson,217.9,Completed,North
TXN-143720,2024-12-21,Sam Wilson,462.96,Pending,North
TXN-206966,2024-12-14,Charlie Davis,45.37,Pending,South
TXN-025846,2024-12-03,Alice Brown,192.21,Completed,South
TXN-079513,2024-12-29,Bob Johnson,187.67,Pending,West
TXN-002473,2024-12-08,Jane Smith,474.97,Pending,South
TXN-134197,2024-12-10,John Doe,92.63,Cancelled,West
TXN-007366,2024-12-23,Charlie Davis,314.92,Completed,East
TXN-200571,2024-12-01,Sam Wilson,370.89,Completed,East
TXN-184189,2024-12-11,Sam Wilson,74.14,Completed,South
TXN-172184,2024-12-29,Alice Brown,123.58,Pending,East
TXN-033656,2024-12-10,Bob Johnson,461.56,Cancelled,North
TXN-197600,2024-12-19,Alice Brown,453.46,Cancelled,North
TXN-008392,2024-12-14,Sam Wilson,305.3,Pending,North
TXN-108989,2024-12-07,Elena Rodriguez,271.75,Cancelled,West
TXN-074757,2024-12-18,Jane Smith,216.69,Pending,North
TXN-135405,2024-12-21,John Doe,357.64,Completed,North
TXN-200563,2024-12-19,John Doe,355.48,Cancelled,West
TXN-197364,2024-12-22,Alice Brown,253.18,Cancelled,South
TXN-089124,2024-12-14,Sam Wilson,465.77,Pending,South
TXN-200358,2024-12-05,Elena Rodriguez,103.55,Pending,North
TXN-036681,2024-12-30,Alice Brown,91.54,Completed,South
TXN-092994,2024-12-20,Elena Rodriguez,198.71,Pending,East
TXN-163859,2024-12-12,Charlie Davis,286.39,Pending,North
TXN-130261,2024-12-29,Jane Smith,338.2,Completed,West
TXN-018240,2024-12-13,Alice Brown,137.9,Pending,East
TXN-131884,2024-12-01,Bob Johnson,385.26,Cancelled,North
TXN-076950,2024-12-15,Alice Brown,201.97,Cancelled,South
TXN-188202,2024-12-28,Jane Smith,452.17,Completed,North
TXN-138524,2024-12-12,John Doe,433.45,Cancelled,East
TXN-116969,2024-12-09,Bob Johnson,482.86,Completed,South
TXN-144372,2024-12-14,Jane Smith,339.46,Pending,West
TXN-209216,2024-12-10,John Doe,382.03,Pending,West
TXN-169298,2024-12-23,Elena Rodriguez,211.26,Pending,South
TXN-077915,2024-12-18,Elena Rodriguez,457.67,Completed,West
TXN-131003,2024-12-10,Charlie Davis,292.79,Completed,South
TXN-207543,2024-12-11,Charlie Davis,397.17,Cancelled,South
TXN-041211,2024-12-28,Charlie Davis,336.67,Cancelled,South
TXN-070375,2024-12-14,Alice Brown,189.28,Pending,South
TXN-101742,2024-12-19,Charlie Davis,462.82,Completed,North
TXN-083212,2024-12-29,Bob Johnson,443.42,Completed,North
TXN-180638,2024-12-04,Elena Rodriguez,167.22,Cancelled,North
TXN-203552,2024-12-06,Alice Brown,133.79,Completed,North
TXN-071161,2024-12-16,Jane Smith,143.66,Pending,West
TXN-101206,2024-12-26,Sam Wilson,264.66,Pending,North
TXN-045505,2024-12-21,Charlie Davis,484.45,Completed,South
TXN-070040,2024-12-17,Bob Johnson,464.8,Pending,East
TXN-072294,2024-12-02,Alice Brown,350.29,Completed,North
TXN-185501,2024-12-19,Bob Johnson,166.99,Cancelled,West
TXN-063750,2024-12-23,Jane Smith,436.14,Pending,East
TXN-046098,2024-12-06,Charlie Davis,91.57,Pending,West
TXN-068055,2024-12-29,Alice Brown,496.23,Pending,West
TXN-150013,2024-12-30,Bob Johnson,231.69,Completed,East
TXN-117584,2024-12-07,Charlie Davis,444.42,Pending,South
TXN-017810,2024-12-27,Elena Rodriguez,498.5,Completed,West
TXN-077205,2024-12-28,Sam Wilson,408.45,Cancelled,South
TXN-203888,2024-12-06,Alice Brown,108.31,Cancelled,East
TXN-094692,2024-12-03,John Doe,226.08,Cancelled,South
TXN-055050,2024-12-03,Elena Rodriguez,116.64,Pending,South
TXN-031018,2024-12-17,Elena Rodriguez,159.03,Completed,North
TXN-026695,2024-12-18,Bob Johnson,191.96,Pending,East
TXN-093067,2024-12-24,John Doe,120.28,Cancelled,West
TXN-042970,2024-12-23,Charlie Davis,22.7,Completed,South
TXN-103721,2024-12-28,Bob Johnson,59.38,Cancelled,South
TXN-209981,2024-12-04,Sam Wilson,266.37,Pending,North
TXN-087480,2024-12-26,Sam Wilson,280.05,Pending,East
TXN-149160,2024-12-23,Bob Johnson,440.93,Completed,South
TXN-174947,2024-12-19,Alice Brown,59.57,Completed,West
TXN-123417,2024-12-17,Alice Brown,183.17,Completed,South
TXN-107749,2024-12-29,Alice Brown,234.41,Completed,North
TXN-130687,2024-12-10,Alice Brown,415.35,Pending,North
TXN-031978,2024-12-30,Alice Brown,211.93,Cancelled,South
TXN-044629,2024-12-18,John Doe,224.12,Pending,North
TXN-057156,2024-12-06,Elena Rodriguez,235.42,Completed,North
TXN-158794,2024-12-13,Sam Wilson,159.46,Cancelled,North
TXN-097276,2024-12-17,Bob Johnson,33.99,Completed,North
TXN-084860,2024-12-30,Sam Wilson,445.17,Completed,East
TXN-039842,2024-12-18,Bob Johnson,405.21,Pending,South
TXN-150755,2024-12-01,John Doe,17.89,Completed,East
TXN-134332,2024-12-27,Alice Brown,214.39,Completed,West
TXN-083029,2024-12-05,Jane Smith,116.66,Pending,South
